OTU_total	Phylum	Class	Order	Family	Genus	OTU	T1_1	T1_2	T1_3	T1_4	T1_5	T1_6	T7_1	T7_2	T7_3	T7_4	T7_5	T7_6	DF_1	DF_2	DF_3	DF_4	DF_5	CF_1	CF_2	CF_3	CF_4	CF_5	CF_6
Otu0026	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	Otu0026	1	0	2	5	0	0	2	1	4	2	0	7	2	9	10	8	0	1	1	1	6	8	2
Otu0027	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	Otu0027	0	0	1	2	0	1	1	7	1	12	0	5	2	10	0	7	15	0	0	0	1	0	0
Otu0028	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Otu0028	0	0	2	0	3	0	6	1	5	5	3	6	8	3	11	4	6	0	0	4	1	0	1
Otu0029	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	unclassified	Otu0029	6	9	6	8	2	2	1	0	0	0	0	0	4	1	11	6	1	6	0	2	2	1	2
Otu0030	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	Otu0030	11	13	15	14	4	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu0031	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	Otu0031	5	8	4	9	2	7	5	2	2	1	4	3	2	3	0	1	6	0	0	2	2	0	0
Otu0032	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Otu0032	0	1	2	1	0	1	0	1	2	3	0	0	1	2	1	1	1	8	6	5	4	8	16
Otu0033	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Koribacter	Otu0033	0	0	2	0	1	0	0	0	0	1	0	0	0	1	2	2	0	19	21	3	4	2	4
Otu0034	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacteriaceae	Otu0034	6	1	4	1	1	0	8	6	1	1	1	3	3	3	1	7	4	1	2	1	1	0	0
Otu0035	Proteobacteria	Alphaproteobacteria	Rhodospirillales	wr0007	unclassified	Otu0035	0	1	1	0	0	0	5	1	2	1	1	4	8	4	14	1	2	3	0	4	3	3	2
Otu0036	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Otu0036	1	2	3	0	0	0	1	0	1	1	2	0	0	2	6	0	0	7	8	1	6	10	9
Otu0037	Proteobacteria	Alphaproteobacteria	Rhizobiales	alphaI_cluster	unclassified	Otu0037	0	0	0	0	0	0	0	0	1	0	0	0	6	3	3	1	0	12	8	7	4	11	7
Otu0038	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	unclassified	Otu0038	2	1	1	0	0	2	4	9	2	16	2	2	0	0	1	1	7	0	0	0	0	0	0
Otu0039	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Otu0039	1	1	1	0	7	1	0	6	0	11	1	5	0	3	0	0	2	0	0	0	0	0	1
Otu0040	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Otu0040	0	0	0	4	0	0	0	1	0	0	0	0	1	6	1	6	0	1	4	2	8	8	9
Otu0041	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	uncultured	Otu0041	0	3	1	2	1	6	0	7	1	7	0	4	0	5	0	2	4	0	0	7	0	0	0
Otu0042	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	Otu0042	0	0	2	1	1	1	2	3	2	4	0	2	6	4	3	4	2	0	2	5	4	5	1
Otu0043	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Otu0043	1	1	0	0	0	1	5	6	0	4	0	4	1	1	5	1	3	1	10	2	1	4	2
Otu0044	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Chloroacidobacterium	Otu0044	1	3	5	9	8	2	0	0	2	12	3	0	0	0	1	0	0	0	0	1	0	0	0
Otu0045	unclassified	unclassified	unclassified	unclassified	unclassified	Otu0045	0	0	3	0	2	2	0	0	21	1	9	2	3	0	2	2	0	0	1	3	2	1	0
Otu0046	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enteric_Bacteria_cluster	Otu0046	1	0	1	1	43	1	1	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0
Otu0047	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	unclassified	Otu0047	1	2	4	0	1	2	0	0	0	1	1	0	2	1	1	2	0	2	7	5	2	21	1
Otu0048	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	Otu0048	0	0	0	0	1	0	1	0	2	17	1	7	2	4	0	4	5	0	0	0	0	0	0
Otu0049	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	unclassified	Otu0049	0	4	1	4	1	0	2	3	3	0	0	0	0	2	0	0	2	7	4	0	2	6	6
Otu0050	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Otu0050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	12	13	0	3	8	8
Otu0051	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Otu0051	3	2	2	1	0	1	6	1	1	1	2	2	3	5	6	2	4	1	0	4	0	2	0
Otu0052	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium	Otu0052	2	0	3	0	0	0	4	3	2	6	1	1	2	2	8	7	1	0	0	0	0	0	0
Otu0053	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu0053	0	0	1	1	0	0	1	0	16	2	3	1	2	2	7	6	4	0	0	2	0	0	0
Otu0054	Proteobacteria	Betaproteobacteria	TRA3-20	unclassified	unclassified	Otu0054	0	0	0	0	0	0	0	0	19	9	4	4	2	1	5	0	3	0	1	0	0	0	0
Otu0055	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Otu0055	0	0	0	0	0	0	4	1	2	2	0	1	1	1	0	4	0	5	4	2	5	4	4
Otu0056	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Otu0056	1	0	0	5	0	0	0	9	0	9	0	4	0	9	0	4	0	0	0	0	0	0	0
Otu0057	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu0057	0	0	1	0	0	0	0	0	0	0	0	0	5	2	4	6	0	16	5	1	0	3	3
Otu0058	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	Otu0058	0	0	0	1	1	0	0	2	2	3	4	5	0	3	1	1	10	3	0	0	2	0	1
Otu0059	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	unclassified	Otu0059	2	2	1	0	1	0	0	1	0	5	0	0	1	8	1	2	1	0	1	4	7	0	0
Otu0060	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Otu0060	0	0	0	0	1	0	13	2	2	2	5	3	0	0	8	2	1	1	0	5	1	0	0
Otu0061	Proteobacteria	Alphaproteobacteria	Rhodospirillales	wr0007	unclassified	Otu0061	0	1	2	2	0	0	3	1	3	1	4	1	1	2	2	3	2	2	2	2	0	3	2
Otu0062	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Otu0062	0	0	0	0	0	3	1	1	1	3	0	3	0	6	3	0	3	0	2	3	1	2	2
Otu0063	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu0063	0	1	1	1	0	2	1	0	0	0	0	0	2	1	3	0	2	7	0	9	6	4	2
Otu0064	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu0064	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	19	0	5	0	6	7
Otu0065	Acidobacteria	Holophagae	iii1-8	unclassified	unclassified	Otu0065	3	5	7	4	2	5	2	4	3	5	0	0	0	0	0	2	0	0	0	1	0	0	0
Otu0066	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	Otu0066	3	9	6	7	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu0067	Actinobacteria	Actinobacteria	Rubrobacteridae	unclassified	unclassified	Otu0067	1	2	0	0	0	0	0	0	0	0	2	0	1	0	9	5	0	0	2	3	6	7	4
Otu0068	Actinobacteria	Actinobacteria	Rubrobacteridae	AKIW543	unclassified	Otu0068	0	1	1	0	0	1	6	1	0	3	3	4	2	2	4	6	1	1	0	0	0	0	0
Otu0069	Proteobacteria	Alphaproteobacteria	Rhodospirillales	DA111	unclassified	Otu0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	3	3	10	17
Otu0070	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Chloroacidobacterium	Otu0070	5	3	8	0	8	11	0	1	3	1	1	0	1	0	1	2	1	0	0	0	0	0	0
Otu0071	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Frankineae	Otu0071	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	2	5	4	5	9	4
Otu0072	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	unclassified	Otu0072	0	0	0	0	0	2	0	3	1	10	5	6	0	0	1	1	1	0	3	0	1	1	0
Otu0073	Candidate_division_TM7	unclassified	unclassified	unclassified	unclassified	Otu0073	1	25	1	5	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
Otu0074	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Otu0074	0	1	2	0	0	2	2	1	0	2	2	4	5	1	2	0	1	2	0	2	0	2	5
Otu0075	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	Otu0075	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	9	5	16	0	2
Otu0076	Acidobacteria	Holophagae	32-20	unclassified	unclassified	Otu0076	0	0	0	2	0	0	3	2	1	2	4	2	2	3	8	2	1	0	0	0	0	0	0
Otu0077	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Terrimonas	Otu0077	0	0	0	0	1	1	1	1	18	1	3	1	3	0	1	0	3	0	0	1	0	0	0
Otu0078	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	Otu0078	5	2	1	10	1	5	2	1	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0
Otu0079	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Otu0079	2	13	2	4	1	4	0	2	0	0	0	0	0	0	0	0	0	1	1	0	5	0	4
Otu0080	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Otu0080	6	3	8	7	8	2	0	0	0	1	0	2	0	0	1	0	1	0	0	1	0	0	0
Otu0081	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Otu0081	0	4	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	5	8	2	6	3	2
Otu0082	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu0082	0	1	2	0	1	0	1	0	2	0	1	0	9	1	4	3	1	1	3	2	0	4	4
Otu0083	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified	Otu0083	0	0	0	0	0	0	0	1	0	4	0	3	0	1	0	2	1	1	13	0	0	2	1
Otu0084	Proteobacteria	unclassified	unclassified	unclassified	unclassified	Otu0084	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	2	2	3	12	13
Otu0085	unclassified	unclassified	unclassified	unclassified	unclassified	Otu0085	1	0	2	0	0	0	1	0	1	1	3	1	0	2	3	0	0	1	2	8	4	6	3
Otu0086	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Otu0086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	1	5	10	6
Otu0087	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu0087	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	5	4	5	5
Otu0088	Actinobacteria	Actinobacteria	Acidimicrobidae	Acidimicrobiales	Acidimicrobineae	Otu0088	1	0	0	0	0	0	5	1	4	0	3	1	4	0	2	0	3	0	0	3	2	2	0
Otu0089	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Otu0089	2	2	1	0	1	0	5	4	7	0	0	3	0	0	2	0	4	1	0	0	0	0	0
Otu0090	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Chloroacidobacterium	Otu0090	0	0	1	0	0	0	0	1	12	3	6	2	2	0	0	0	1	0	0	0	0	0	0
Otu0091	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Otu0091	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	13	8	1	2	6	4
Otu0092	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	unclassified	Otu0092	0	1	2	1	2	0	1	0	0	0	0	0	1	0	2	1	1	3	2	3	2	10	0
Otu0093	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	unclassified	Otu0093	7	11	3	3	0	4	0	2	0	2	0	0	1	2	0	0	2	0	0	0	0	0	0
Otu0094	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu0094	7	0	12	1	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu0095	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Frankineae	Otu0095	9	3	2	1	4	2	5	2	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0
Otu0096	unclassified	unclassified	unclassified	unclassified	unclassified	Otu0096	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	15	5	0	0	3	0	1	1
Otu0097	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Chloroacidobacterium	Otu0097	0	0	0	0	0	3	1	0	8	9	5	1	2	0	0	0	1	0	0	0	0	0	0
Otu0098	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcineae	Otu0098	4	2	1	1	1	1	0	1	4	7	6	3	1	1	1	0	1	0	0	1	1	0	0
Otu0099	Actinobacteria	Actinobacteria	Rubrobacteridae	AKIW543	unclassified	Otu0099	0	0	1	0	0	0	3	0	3	1	0	0	6	9	0	1	3	0	0	0	1	1	0
Otu0100	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Propionibacterineae	Otu0100	1	0	1	1	0	0	3	2	0	4	3	1	0	2	3	4	0	0	0	2	0	0	0
Otu0101	Actinobacteria	Actinobacteria	Rubrobacteridae	AKIW543	unclassified	Otu0101	2	1	1	0	0	0	5	1	2	8	3	2	0	0	1	0	1	0	0	0	0	0	0
Otu0102	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	uncultured	Otu0102	0	0	0	5	1	0	0	0	1	0	0	3	0	4	1	0	0	0	0	6	3	1	0
Otu0103	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu0103	3	5	2	2	5	2	1	0	3	2	0	0	1	0	0	3	0	0	0	0	0	0	1
Otu0104	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacteriaceae	Otu0104	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	6	4	4	2	6	3
Otu0105	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Dyella	Otu0105	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	1	0	12	0	3	0	11
Otu0106	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	Otu0106	1	4	4	7	9	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu0107	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu0107	0	0	1	0	3	0	1	0	2	0	3	3	2	1	4	2	5	0	0	0	2	0	2
Otu0108	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	uncultured	Otu0108	0	0	0	0	0	0	3	3	1	0	2	5	0	8	0	5	0	0	0	0	0	0	0
Otu0109	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	Otu0109	4	5	5	8	1	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu0110	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Rhodanobacter	Otu0110	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	5	0	2	5	10
Otu0111	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	Otu0111	2	1	5	0	1	2	0	1	1	0	3	0	1	3	1	1	1	0	0	0	1	0	0
Otu0112	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	Otu0112	0	0	0	0	0	0	0	1	1	0	2	0	1	7	1	4	5	0	0	0	2	0	0
Otu0113	unclassified	unclassified	unclassified	unclassified	unclassified	Otu0113	1	0	0	0	0	0	4	2	1	2	4	4	0	4	1	3	1	0	0	0	0	1	0
Otu0114	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Flavisolibacter	Otu0114	5	3	5	1	5	3	0	0	1	3	0	1	1	0	0	0	1	0	0	0	0	0	0
Otu0115	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Otu0115	1	0	0	0	5	0	2	3	0	3	2	1	0	0	1	0	0	1	6	3	1	0	1
Otu0116	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	unclassified	Otu0116	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	2	1	4	8
Otu0117	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Otu0117	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	3	4	3	6	1	7
Otu0118	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	unclassified	Otu0118	1	0	0	0	0	0	0	0	0	0	0	0	2	1	5	2	1	0	3	1	8	1	1
Otu0119	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Otu0119	0	0	0	0	0	0	0	0	0	0	3	0	7	0	5	0	0	1	0	5	0	0	0
Otu0120	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Otu0120	0	0	0	0	0	0	0	3	0	0	0	0	0	6	1	0	0	0	6	2	4	1	1
Otu0121	Actinobacteria	Actinobacteria	Rubrobacteridae	AKIW543	unclassified	Otu0121	0	0	0	0	0	0	1	0	1	4	3	6	2	1	0	4	4	0	0	0	0	0	0
Otu0122	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Frankineae	Otu0122	0	0	0	0	1	2	8	1	3	2	1	2	0	0	0	1	2	0	0	2	1	0	0
Otu0123	Verrucomicrobia	Spartobacteria	DA101	unclassified	unclassified	Otu0123	0	0	2	0	2	0	0	0	5	1	4	1	1	2	2	2	0	0	0	1	0	0	0
Otu0124	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Otu0124	2	13	2	5	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu0125	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu0125	4	6	9	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1
Otu0126	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	unclassified	Otu0126	1	0	0	0	0	0	0	1	0	0	1	0	4	2	6	0	0	1	3	0	2	7	2
Otu0127	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	Otu0127	8	7	3	2	1	1	0	0	0	1	3	1	0	0	2	0	0	0	0	1	0	0	0
Otu0128	Proteobacteria	Alphaproteobacteria	Sphingomonadales	unclassified	unclassified	Otu0128	1	11	2	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu0129	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	unclassified	Otu0129	0	0	5	2	0	2	0	0	0	0	0	0	0	3	0	0	0	1	3	2	3	0	0
Otu0130	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Otu0130	0	0	0	0	0	2	3	0	0	1	2	2	2	3	2	0	2	0	0	1	0	3	0
Otu0131	Proteobacteria	unclassified	unclassified	unclassified	unclassified	Otu0131	0	0	0	0	0	0	2	1	1	3	1	1	0	2	4	3	4	0	0	1	0	0	0
Otu0132	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	uncultured	Otu0132	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	6	1	6	1	2
Otu0133	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	Otu0133	0	1	2	0	0	2	0	2	1	3	1	0	0	1	3	4	0	0	0	1	1	0	0
Otu0134	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	Otu0134	0	0	0	4	0	0	0	1	0	0	0	0	1	3	4	0	0	3	0	1	6	2	0
Otu0135	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacteriaceae	Otu0135	0	0	0	3	0	0	2	1	0	4	2	1	1	1	1	0	4	0	1	2	0	4	1
Otu0136	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	Otu0136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	2	2	2	10
Otu0137	Proteobacteria	unclassified	unclassified	unclassified	unclassified	Otu0137	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	2	2	2	10	1	6
